QueryID	Q0	DocID	Rank	Score	RunID
73	Q0	594234	1	79.0	run73
73	Q0	114641	2	28.0	run73
73	Q0	271488	3	26.0	run73
73	Q0	532953	4	18.0	run73
73	Q0	716291	5	17.0	run73
73	Q0	659417	6	17.0	run73
73	Q0	65375	7	17.0	run73
73	Q0	71345	8	16.0	run73
73	Q0	11986	9	16.0	run73
73	Q0	888594	10	15.0	run73
73	Q0	720118	11	15.0	run73
73	Q0	689376	12	15.0	run73
73	Q0	536309	13	15.0	run73
73	Q0	265789	14	15.0	run73
73	Q0	512690	15	14.0	run73
73	Q0	300835	16	13.0	run73
73	Q0	297153	17	13.0	run73
73	Q0	289356	18	13.0	run73
73	Q0	281871	19	13.0	run73
73	Q0	270775	20	13.0	run73
73	Q0	266838	21	13.0	run73
73	Q0	251957	22	13.0	run73
73	Q0	248039	23	13.0	run73
73	Q0	240617	24	13.0	run73
73	Q0	625303	25	12.0	run73
73	Q0	172384	26	12.0	run73
73	Q0	581889	27	11.0	run73
73	Q0	491753	28	11.0	run73
73	Q0	289229	29	11.0	run73
73	Q0	122596	30	11.0	run73
73	Q0	708265	31	10.0	run73
73	Q0	680735	32	10.0	run73
73	Q0	670975	33	10.0	run73
73	Q0	670112	34	10.0	run73
73	Q0	519575	35	10.0	run73
73	Q0	153878	36	10.0	run73
73	Q0	586192	37	9.0	run73
73	Q0	580763	38	9.0	run73
73	Q0	398120	39	9.0	run73
73	Q0	277694	40	9.0	run73
73	Q0	193533	41	9.0	run73
73	Q0	183199	42	9.0	run73
73	Q0	461645	43	8.0	run73
73	Q0	401070	44	8.0	run73
73	Q0	887317	45	7.0	run73
73	Q0	635870	46	7.0	run73
73	Q0	565324	47	7.0	run73
73	Q0	536657	48	7.0	run73
73	Q0	467576	49	7.0	run73
73	Q0	379728	50	7.0	run73
73	Q0	314462	51	7.0	run73
73	Q0	232801	52	7.0	run73
73	Q0	25831	53	7.0	run73
73	Q0	678977	54	6.0	run73
73	Q0	582857	55	6.0	run73
73	Q0	545101	56	6.0	run73
73	Q0	388055	57	6.0	run73
73	Q0	367124	58	6.0	run73
73	Q0	85616	59	6.0	run73
73	Q0	78109	60	6.0	run73
73	Q0	19831	61	6.0	run73
73	Q0	870518	62	5.0	run73
73	Q0	849246	63	5.0	run73
73	Q0	657182	64	5.0	run73
73	Q0	599420	65	5.0	run73
73	Q0	588736	66	5.0	run73
73	Q0	517338	67	5.0	run73
73	Q0	516152	68	5.0	run73
73	Q0	506481	69	5.0	run73
73	Q0	864267	70	4.0	run73
73	Q0	864263	71	4.0	run73
73	Q0	829996	72	4.0	run73
73	Q0	791959	73	4.0	run73
73	Q0	784007	74	4.0	run73
73	Q0	753386	75	4.0	run73
73	Q0	744121	76	4.0	run73
73	Q0	691675	77	4.0	run73
73	Q0	591107	78	4.0	run73
73	Q0	558630	79	4.0	run73
73	Q0	529418	80	4.0	run73
73	Q0	523603	81	4.0	run73
73	Q0	496747	82	4.0	run73
73	Q0	487362	83	4.0	run73
73	Q0	442210	84	4.0	run73
73	Q0	343606	85	4.0	run73
73	Q0	325961	86	4.0	run73
73	Q0	305411	87	4.0	run73
73	Q0	226928	88	4.0	run73
73	Q0	174445	89	4.0	run73
73	Q0	65855	90	4.0	run73
73	Q0	60999	91	4.0	run73
