QueryID	Q0	DocID	Rank	Score	RunID
91	Q0	690289	1	9.0	run91
91	Q0	719816	2	3.0	run91
91	Q0	599558	3	3.0	run91
91	Q0	535077	4	3.0	run91
91	Q0	293340	5	3.0	run91
91	Q0	887545	6	2.0	run91
91	Q0	882129	7	2.0	run91
91	Q0	801189	8	2.0	run91
91	Q0	712776	9	2.0	run91
91	Q0	616251	10	2.0	run91
91	Q0	589438	11	2.0	run91
91	Q0	588523	12	2.0	run91
91	Q0	544890	13	2.0	run91
91	Q0	518368	14	2.0	run91
91	Q0	481310	15	2.0	run91
91	Q0	426870	16	2.0	run91
91	Q0	376681	17	2.0	run91
91	Q0	350876	18	2.0	run91
91	Q0	347231	19	2.0	run91
91	Q0	337497	20	2.0	run91
91	Q0	333970	21	2.0	run91
91	Q0	333315	22	2.0	run91
91	Q0	322164	23	2.0	run91
91	Q0	287723	24	2.0	run91
91	Q0	273204	25	2.0	run91
91	Q0	250366	26	2.0	run91
91	Q0	183409	27	2.0	run91
91	Q0	157524	28	2.0	run91
91	Q0	150396	29	2.0	run91
91	Q0	136306	30	2.0	run91
91	Q0	135820	31	2.0	run91
91	Q0	95226	32	2.0	run91
91	Q0	86150	33	2.0	run91
91	Q0	83880	34	2.0	run91
91	Q0	72600	35	2.0	run91
91	Q0	67703	36	2.0	run91
91	Q0	29705	37	2.0	run91
91	Q0	887056	38	1.0	run91
91	Q0	886019	39	1.0	run91
91	Q0	882442	40	1.0	run91
91	Q0	881021	41	1.0	run91
91	Q0	880342	42	1.0	run91
91	Q0	878332	43	1.0	run91
91	Q0	878331	44	1.0	run91
91	Q0	878156	45	1.0	run91
91	Q0	874918	46	1.0	run91
91	Q0	874917	47	1.0	run91
91	Q0	874916	48	1.0	run91
91	Q0	873633	49	1.0	run91
91	Q0	872543	50	1.0	run91
91	Q0	871419	51	1.0	run91
91	Q0	869401	52	1.0	run91
91	Q0	867907	53	1.0	run91
91	Q0	867038	54	1.0	run91
91	Q0	866970	55	1.0	run91
91	Q0	864440	56	1.0	run91
91	Q0	864438	57	1.0	run91
91	Q0	861125	58	1.0	run91
91	Q0	861124	59	1.0	run91
91	Q0	860882	60	1.0	run91
91	Q0	860784	61	1.0	run91
91	Q0	859587	62	1.0	run91
91	Q0	859080	63	1.0	run91
91	Q0	859033	64	1.0	run91
91	Q0	858965	65	1.0	run91
91	Q0	857604	66	1.0	run91
91	Q0	857603	67	1.0	run91
91	Q0	854161	68	1.0	run91
91	Q0	854160	69	1.0	run91
91	Q0	850605	70	1.0	run91
91	Q0	850604	71	1.0	run91
91	Q0	850603	72	1.0	run91
91	Q0	848734	73	1.0	run91
91	Q0	847123	74	1.0	run91
91	Q0	845536	75	1.0	run91
91	Q0	844449	76	1.0	run91
91	Q0	843682	77	1.0	run91
91	Q0	840708	78	1.0	run91
91	Q0	840375	79	1.0	run91
91	Q0	840164	80	1.0	run91
91	Q0	840163	81	1.0	run91
91	Q0	840159	82	1.0	run91
91	Q0	840014	83	1.0	run91
91	Q0	838357	84	1.0	run91
91	Q0	836850	85	1.0	run91
91	Q0	833238	86	1.0	run91
91	Q0	833236	87	1.0	run91
91	Q0	832282	88	1.0	run91
91	Q0	829675	89	1.0	run91
91	Q0	829413	90	1.0	run91
91	Q0	828896	91	1.0	run91
